system,item_description,size_spec,quantity,unit,avg_depth_ft,material_cost_per_unit,labor_hours_per_unit
Sanitary,Pipe,"6"" PVC SDR-35",275,LF,4,18.50,0.15
Sanitary,Pipe,"8"" PVC SDR-35",140,LF,6,24.00,0.22
Sanitary,45 Elbow,"6"" PVC",6,EA,,45.00,0.75
Sanitary,Cleanout,"6"" PVC",4,EA,,120.00,1.20
Sanitary,Manhole,"48"" Precast",3,EA,,1850.00,6.50
Storm,Pipe,"12"" HDPE",320,LF,3,28.00,0.18
Storm,Pipe,"18"" RCP",95,LF,5,52.00,0.35
Storm,Catch Basin,"24"" x 24""",5,EA,,850.00,3.00
Storm,Flared End Section,"18"" RCP",2,EA,,420.00,1.50
Domestic Water,Pipe,"6"" C900",410,LF,3.5,32.00,0.20
Domestic Water,Gate Valve,"6""",3,EA,,680.00,2.50
Domestic Water,Fire Hydrant Assembly,Standard,2,EA,,2400.00,8.00
Domestic Water,Tapping Sleeve & Valve,"6"" x 6""",1,EA,,1450.00,4.00

system,item_description,size_spec,quantity,unit,avg_depth_ft,material_cost_per_unit,labor_hours_per_unit,associated_scope,equipment_ownership,equipment_operator_included,equipment_damage_waiver_pct,equipment_minimum_rental_days,equipment_standby_days,equipment_standby_rate_pct,equipment_production_rate_qty_day,equipment_contingency_days
Equipment & Mobilization,Mini-Excavator Rental,"3-5 Ton",1,WK,,0,0,Sanitary,rented,No,10,3,0,50,150,1
Equipment & Mobilization,Skid Steer Loader Rental,Track Loader,1,WK,,0,0,Storm,company-owned,Yes,10,2,1,50,200,1
Equipment & Mobilization,Generator & Light Tower Rental,Generator,1,WK,,0,0,Domestic Water,rented,No,10,5,0,50,120,2
