"Trade","Item Name","Dimension","Takeoff Qty","UOM","Cut Depth"
"Sanitary Sewer","6-Inch PVC Gravity Pipe","6\" SDR-35","275","LF","4.5"
"Sanitary Sewer","8-Inch PVC Gravity Pipe","8\" SDR-35","140","LF","6.0"
"Sanitary Sewer","45-Degree Sewer Fitting","6\" PVC","6","EA",""
"Sanitary Sewer","Inline Cleanout Assembly","6\" PVC Two-Way","4","EA",""
"Sanitary Sewer","Precast Sanitary Manhole","48\" Diameter","3","EA",""
"Storm Drainage","HDPE Corrugated Pipe","12\" Dual-Wall","320","LF","3.5"
"Storm Drainage","Reinforced Concrete Pipe","18\" Class III RCP","95","LF","5.0"
"Storm Drainage","Precast Catch Basin","24\" x 24\" Masonry Frame","5","EA",""
"Water Distribution","Ductile Iron Restrained Pipe","6\" Class 52 DIP","410","LF","4.0"
"Water Distribution","Resilient Wedge Gate Valve","6\" Mechanical Joint","3","EA",""
"Water Distribution","Fire Hydrant Standard Assembly","5-1/4\" Valve Opening","2","EA",""
